,W,H,C_IN,KERNEL_SIZE,C_OUT (filters count),STRIDE,PAD,,Layer name
,7,7,256,1,256,1,1,,Test 1
,7,7,256,1,512,1,1,,Test 2
,7,7,256,1,1024,1,1,,Test 3
,7,7,256,3,256,1,1,,Test 4
,7,7,256,3,512,1,1,,Test 5
,7,7,256,3,1024,1,1,,Test 6
,7,7,256,5,256,1,1,,Test 7
,7,7,256,5,512,1,1,,Test 8
,7,7,256,5,1024,1,1,,Test 9
,7,7,256,7,256,1,1,,Test 10
,7,7,256,7,512,1,1,,Test 11
,7,7,256,7,1024,1,1,,Test 12
,7,7,256,9,256,1,1,,Test 13
,7,7,256,9,512,1,1,,Test 14
,7,7,256,9,1024,1,1,,Test 15
,7,7,256,11,256,1,1,,Test 16
,7,7,256,11,512,1,1,,Test 17
,7,7,256,11,1024,1,1,,Test 18
,7,7,512,1,256,1,1,,Test 19
,7,7,512,1,512,1,1,,Test 20
,7,7,512,1,1024,1,1,,Test 21
,7,7,512,3,256,1,1,,Test 22
,7,7,512,3,512,1,1,,Test 23
,7,7,512,3,1024,1,1,,Test 24
,7,7,512,5,256,1,1,,Test 25
,7,7,512,5,512,1,1,,Test 26
,7,7,512,5,1024,1,1,,Test 27
,7,7,512,7,256,1,1,,Test 28
,7,7,512,7,512,1,1,,Test 29
,7,7,512,7,1024,1,1,,Test 30
,7,7,512,9,256,1,1,,Test 31
,7,7,512,9,512,1,1,,Test 32
,7,7,512,9,1024,1,1,,Test 33
,7,7,512,11,256,1,1,,Test 34
,7,7,512,11,512,1,1,,Test 35
,7,7,512,11,1024,1,1,,Test 36
,7,7,1024,1,256,1,1,,Test 37
,7,7,1024,1,512,1,1,,Test 38
,7,7,1024,1,1024,1,1,,Test 39
,7,7,1024,3,256,1,1,,Test 40
,7,7,1024,3,512,1,1,,Test 41
,7,7,1024,3,1024,1,1,,Test 42
,7,7,1024,5,256,1,1,,Test 43
,7,7,1024,5,512,1,1,,Test 44
,7,7,1024,5,1024,1,1,,Test 45
,7,7,1024,7,256,1,1,,Test 46
,7,7,1024,7,512,1,1,,Test 47
,7,7,1024,7,1024,1,1,,Test 48
,7,7,1024,9,256,1,1,,Test 49
,7,7,1024,9,512,1,1,,Test 50
,7,7,1024,9,1024,1,1,,Test 51
,7,7,1024,11,256,1,1,,Test 52
,7,7,1024,11,512,1,1,,Test 53
,7,7,1024,11,1024,1,1,,Test 54
,7,7,2048,1,256,1,1,,Test 55
,7,7,2048,1,512,1,1,,Test 56
,7,7,2048,1,1024,1,1,,Test 57
,7,7,2048,3,256,1,1,,Test 58
,7,7,2048,3,512,1,1,,Test 59
,7,7,2048,3,1024,1,1,,Test 60
,7,7,2048,5,256,1,1,,Test 61
,7,7,2048,5,512,1,1,,Test 62
,7,7,2048,5,1024,1,1,,Test 63
,7,7,2048,7,256,1,1,,Test 64
,7,7,2048,7,512,1,1,,Test 65
,7,7,2048,7,1024,1,1,,Test 66
,7,7,2048,9,256,1,1,,Test 67
,7,7,2048,9,512,1,1,,Test 68
,7,7,2048,9,1024,1,1,,Test 69
,7,7,2048,11,256,1,1,,Test 70
,7,7,2048,11,512,1,1,,Test 71
,7,7,2048,11,1024,1,1,,Test 72
